Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Nano Tips to Communicate Assertively and Set Boundaries with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies, Shadé Zahrai, shares essential tips on assertive communication—and how to confidently set boundaries. Learn how to communicate assertively to reduce confrontations and improve interpersonal outcomes, set boundaries for off-hours communication, address disagreement constructively, and more.",Course,2024-01-07 22:24 UTC,N/A,false,N/A,
Construction Management: Technology on the Jobsite,"<p>Technology is fundamentally changing the way that the construction management industry works. In this course, learn about the practical application of some of these new technologies as you follow the construction of a nine-story patient tower at an existing hospital campus in Arizona, where the owner mandated the extensive use of technology in the construction process. Discover how that team leveraged 3D BIM models to virtually lay out the project, and swapped a tape measurer for a laser scanner that feeds the information it gathers back to the BIM model. They also made working on a jobsite dramatically more efficient by using tablets instead of paper drawings—which ensured that team members were always viewing the latest revisions—and by bringing VR into the process. Explore the future of technology in construction as you learn how these technologies delivered incredible value for the project owner. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/procore-construction-management-professional-certificate"" target=""_blank"">Professional Certificate</a> from Procore.</p>",Course,2018-08-20 02:46 UTC,N/A,false,N/A,
Advanced Python: Build Hands-On Projects with Design Patterns (2023),"Looking to get up to speed with design patterns in Python? This course was made for you. Join instructor Jungwoo Ryoo in this hands-on, interactive, skills-first coding course designed uniquely for advanced-level Python developers. Discover strategic Python coding skills to boost your technical know-how, prepare for an interview, or land a new role. This course includes Code Challenges powered by CoderPad: interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills as you go. Along the way, Jungwoo helps you develop your skills as a Python programmer with four specific, design-focused coding challenges to enhance your programming efficiency, consistency, completeness, and correctness by implementing patterns. Practice building complex objects with the Builder pattern, building a wrapper with the Adapter pattern, building a transaction with the Command pattern, and improving security with the intercepting validator.",Course,2024-07-28 06:01 UTC,N/A,false,N/A,
Excel Data Analysis: Forecasting,"<p>Professor Wayne Winston has taught advanced forecasting techniques to Fortune 500 companies for more than twenty years. In this course, he shows how to use Excel's data-analysis tools—including charts, formulas, and functions—to create accurate and insightful forecasts. Learn how to display time-series data visually; make sure your forecasts are accurate, by computing for errors and bias; use trendlines to identify trends and outlier data; model growth; account for seasonality; and identify unknown variables, with multiple regression analysis. A series of practice challenges along the way helps you test your skills and compare your work to Wayne's solutions. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-demand-planning-professional-certificate"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2019-04-21 03:05 UTC,N/A,false,N/A,
Working with Recruiters to Get a Job,"While most job seekers know that recruiters—or headhunters—exist, many don't understand what recruiters do or how they can help make their job search faster and more successful. In this course, job search expert Jenny Foss demystifies the work of recruiters, explaining how to find and collaborate with recruiters as you work to land your next job. Jenny explains how internal recruiters, agency recruiters, and temp agencies work, as well as how to enlist the right recruiter for your job search. She details how to articulate your career goals to your recruiter and adhere to best practices to build a stellar working relationship. Plus, learn what to do when your recruiter isn't responsive (or just isn't a good fit), as well as when to explore other options for approaching companies of interest.",Course,2021-03-02 11:21 UTC,N/A,false,N/A,
Code Clinic: Python,"Successful programmers know more than just how to code. They also know how to think about solving problems. <em>Code Clinic</em> is a series of courses where our instructors solve the same problems using different programming languages. Here, Barron Stone works with Python. Barron introduces challenges and provides an overview of his solutions in Python. Challenges include topics such as statistical analysis and accessing peripheral devices.<br><br>

Visit other courses in the series to see how to solve the same challenges in languages like C++, C#, JavaScript, PHP, Python, Ruby, Go, and Swift.",Course,2018-08-08 06:34 UTC,N/A,false,N/A,
Green Screen Techniques for Video and Photography,"Learning to shoot green screen removes many time and budget limitations. Instead of scouting and shooting on location—a prohibitive expense for most productions—you can digitally recreate the background of your scene. This course takes you through the steps of shooting both photography and video on green screen. Authors Rich Harrington and Abba Shapiro walk you through the process of preparing a live action set, from hanging the backdrop to lighting the subject with strobes; positioning and posing your subject; and completing the scene with post-production techniques in Adobe After Effects, Photoshop, and Premiere Pro. Learn how to composite your footage against a new digital background plate, match the color and exposure, adjust focus, and perform keying for motion.<br><br>This course was created by RHED Pixel. We are pleased to offer this training in our library.",Course,2021-01-11 15:20 UTC,N/A,false,N/A,
Managing Logistics,"<p>Marketing may win the customers—but logistics keeps them coming back. Logistics play a critical role in a company's success, controlling how materials get from the supplier to the factory and how finished products get to the customer. Help your company practice more efficient delivery, distribution, and inventory control by learning the ins and outs of logistics. In this course, Professor Steven Brown explains the key decisions and challenges that logistics managers face all along the supply chain. Explore the impact of returns, channel length, warehouse location, customer segmentation, and other factors on your logistics network. Plus, get a clear definition of the role of the logistics manager, so you can decide if it’s the career path for you. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-warehousing-operations-professional-certificate"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2022-02-13 08:35 UTC,N/A,false,N/A,
Putting ITIL® into Practice: DevOps for ITIL® Practitioners,"This installment of the <em>Putting ITIL® into Practice</em> series helps ITIL® Foundation certified professionals get a practical start at applying DevOps concepts within their ITIL®-driven enterprise IT organizations as they move from traditional IT towards cloud and mobile on their journey of digital transformation. Throughout this course, instructor David Pultorak examines where DevOps and ITIL® Foundation concepts intersect in an enterprise setting. He begins by introducing DevOps for ITIL®-driven shops, including a discussion of what cloud-native DevOps and enterprise IT shops do and do not have in common. He then covers ideas on how to adapt DevOps values, principles, methods, practices, and tools to accommodate enterprise IT challenges; how to adapt each of the aspects of ITIL®-driven shops to accommodate DevOps values, principles, methods, practices, and tools.",Course,2018-08-10 15:53 UTC,N/A,false,N/A,
Faster Python Services,"Sometimes, the difference between a good Python application and a great one isn't found in the code; it's in the services that support your software. In this course, instructor Miki Tebeka introduces Python optimization tips and techniques to develop and run more efficient sites and applications. Learn how to find bottlenecks, stress test your code, use caching algorithms, ""cheat"" effectively, distribute work on one or more machines, and pick the right transport and encoding methods. He also introduces load balancers and powerful server frameworks for HTTP and TCP, and shows how to serve static content. Plus, learn how to monitor performance of your projects and set up alerts, so you'll know when a system or service fails.",Course,2019-04-10 05:23 UTC,N/A,false,N/A,
How to Design and Deliver Training Programs ,"An effective training program helps to accelerate an employee's professional development and prepares them to excel in their role. In this course, corporate training expert Jeff Toister explains how to design and deliver training programs that engage learners and help them quickly develop new skills. Jeff walks through the ADDIE model of instructional design as it applies to corporate learning, exploring each step—from conducting needs analysis all the way through delivering face-to-face training. He also provides tips for presenting with confidence and clarity, facilitating discussions, adapting your programs to webinar delivery, and more.",Course,2023-04-19 14:12 UTC,N/A,false,N/A,
Data Management with Apache NiFi,"<p>Apache NiFi is designed to automate the flow of data between software systems. If you are a data management professional, this course can give you the understanding you need to get started with this powerful tool. Janani Ravi guides you through getting started with Apache NiFi. Learn about core concepts and architecture, as well as how to download, start, and log into Apache NiFi on both macOS and Windows. Find out how to build and run data flows and how to integrate NiFi with PostgreSQL. Explore ways to configure and use NiFi processors and processing groups and integrate NiFi with Amazon S3. Plus, discover advanced features of NiFi dataflows like configuring back pressure, using a funnel in the dataflow, setting up monitoring and configuring alerts for a dataflow, and much more.</p>

<p>This course was created by Janani Ravi. We are pleased to host this training in our library.</p>",Course,2024-11-26 12:23 UTC,N/A,false,N/A,
Navigating Politics as a Senior Leader,"No organization is completely devoid of political intrigue. Whether it's resource hoarding, manipulative behavior, or unproductive alliance building, office politics affect all employees—and they can distract your organization from getting things done. At the executive level, these behaviors can cause a lack of clarity and collaboration all the way down the chain. Curious about how to navigate these challenging situations in your organization? In this course, join Mike Figliuolo as he shares productive approaches for dealing with political issues at a senior level. Mike covers a variety of common behaviors—from unproductive alliance building to information hoarding—sharing practical techniques for mitigating each issue.",Course,2022-03-11 17:23 UTC,N/A,false,N/A,
Nano Tips for Leading Diverse Teams with Watchen Nyanue,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, join Watchen Nyanue Hampton—thought leader, career architect, and the founder of I Choose The Ladder—as she shares practical, easy-to-use strategies for navigating diverse team dynamics and reaching your full leadership potential.</p><p>Learn how to bridge the gap between effort and attitude, find comfort in discomfort, and value everyone’s unique lived experience. Get tips on establishing rules of engagement and creating clearly defined communication channels. Along the way, Watchen offers insights to help you build your awareness of team blindspots, embrace conflict, rotate meeting leadership, practice mindful communication, and celebrate success. By the end of this course, you’ll be equipped with the skills you need to lead your team with professional poise and aplomb.<p>",Course,2025-04-15 06:48 UTC,N/A,false,N/A,
Nano Tips for Aspiring Product Managers with Cherie Luo,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.
<br><br>
Here, join Cherie Luo, senior product manager at LinkedIn, as she provides advice for aspiring product managers. She starts by detailing things you need to know about product managers—what exactly a product manager does, how they spend their time, traits of great product managers—and then offers advice on how to get a job as a product manager.",Course,2022-07-02 18:29 UTC,N/A,false,N/A,
Lean Six Sigma Foundations,"<p>Lean Six Sigma combines the principles of lean enterprise and lean manufacturing with Six Sigma to improve performance and systematically remove waste. Supply chain expert and professor Steven Brown explains the basics of using Lean Six Sigma as a structure for your improvement efforts.</p>
<p>Steven outlines the process stages in Six Sigma (define, measure, analyze, improve, and control), along with the Lean toolkit: the 5s principles, kanban (scheduling), downtime, poka-yoke (error proofing), and kaizen (continuous improvement). He also explains how leadership works within Lean Six Sigma, the principles of project execution, and how Lean Six Sigma is applied to the service sector and supply chain management. Make sure to watch the <strong>""Next steps""</strong> video at the end of the course for further resources.</p>
<p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-manufacturing-and-service-operations-professional-certificate"" target=""_blank"" rel=""noopener noreferrer"">Professional Certificate</a> from CSCMP. </p>",Course,2016-10-18 16:10 UTC,N/A,false,N/A,
Product Management: Launching Your Product,"80% of new products fail. What are the other 20% doing right? Companies that see new products thrive did strategic planning to make it happen. Learn how to launch your product into the marketplace the right way. Entrepreneur and executive Karen Holst helps you to understand all the steps to successfully take your product from an idea to a customer’s hands. Discover how to identify your audience and the problem you’re solving for them. Identify the right goals, strategy, and team to heighten your product’s visibility and adoption, while avoiding costly mistakes. Learn how to build a product launch checklist and access the best tools and resources available for product leaders. Explore marketing strategies for connecting to customers with social media, video, influencer campaigns, and more. Plus, discover how to continue to grow your business beyond product launch day.",Course,2021-10-12 05:55 UTC,N/A,false,N/A,
Excel Data Visualization: Designing Custom Visualizations,"Interested in using more than the built-in chart and graph tools to showcase your data in Excel? In this course—the second and final installment in the <i>Excel Data Visualization</i> series—instructor Chris Dutton steps through how to create unique, custom data visualizations in Excel. Since Chris covered the core data visualization capabilities of Excel in the previous installment of the series, he dives into some more sophisticated techniques here. As he moves through a series of hands-on demos, Chris covers everything from building dynamic dashboards to advanced maneuvers like value-based formatting and dynamic series selection.",Course,2019-04-10 06:36 UTC,N/A,false,N/A,
Apache Spark Essential Training: Big Data Engineering (2017),"In order to construct data pipelines and networks that stream, process, and store data, data engineers and data-science DevOps specialists must understand how to combine multiple big data technologies. In this course, discover how to build big data pipelines around Apache Spark. Join Kumaran Ponnambalam as he takes you through how to make Apache Spark work with other big data technologies. He covers the basics of Apache Kafka Connect and how to integrate it with Spark for real-time streaming. In addition, he demonstrates how to use the various technologies to construct an end-to-end project that solves a real-world business problem.",Course,2018-08-27 05:42 UTC,N/A,false,N/A,
What Is Scrum?,"Get a simple answer to a common project management question: What is scrum? This course provides a short, fast-paced introduction to one of the most popular agile frameworks. Explore the roles of the scrum team, from product owner to scrum master; the five core scrum events; the three scrum artifacts that build into project developments; and the reasons behind the widespread adoption of scrum. Instructor Kelley O’Connell provides insights into the secrets of scrum’s success and the reasons it may be the right choice for your organization.",Course,2022-09-30 11:51 UTC,N/A,false,N/A,
Python: Design Patterns (2015),"Design patterns encourage programming efficiency and code reuse. This course is a look at traditional design patterns as applied to Python. Jungwoo Ryoo covers 15 essential creational, structural, and behavioral patterns to help you solve common coding challenges, while introducing best practices that will keep your solutions consistent, complete, and correct.",Course,2019-04-11 12:28 UTC,N/A,false,N/A,
Developing Executive Presence,"Learn to project self-confidence, clarity, and credibility even under conditions of stress, pressure, and uncertainty. In this course, John Ullmen, PhD, a professor from the UCLA Anderson School of Management, shares key research insights and step-by-step methods he uses to coach leaders around the world to develop executive presence. He outlines the four key factors that drive executive presence, and the specific actions that make them work for you.  He also explains the difference between internal and external presence, and how to enhance both to increase your self-assurance and self-possession. He addresses how to do all of this without being fake or feeling inauthentic, and how to be ""fully present, persistently.""",Course,2020-12-16 08:20 UTC,N/A,false,N/A,
Fluent API Development in C#,"Fluent APIs use method chaining for maximum readability and flow. They may be slightly more complicated to write, but are much easier to understand and solve specific complex programming challenges that general-purpose languages can't. This training course teaches the what, why, and how of fluent API development using C#. Learn the history of fluent APIs, beginning with the coining of the phrase ""fluent"" by Martin Fowler. Next, learn how to decide if fluent APIs are right for your project, and how to go about designing them. Instructor Robby Millsap also reviews some popular fluent libraries such as LINQ and Azure Management. Lastly, he takes a simple console application and shows how to refactor it to use fluent prose.",Course,2018-08-16 04:21 UTC,N/A,false,N/A,
"AutoCAD: Annotative Dimensions, Dimension Styles, and Dimension Families","<p>With so many AutoCAD users around the world, it’s essential to know how to wield the built-in power of annotative dimensions. As an architect, engineer, or building and construction management professional, annotative dimensions allow you to place dimension annotation at varying scales in your layout viewports to ensure that your designs are effectively communicated to the contractor on the job site, the production team on the factory floor, or the interior designer at the office.</p><p>In this course, join Autodesk Certified Instructor and Autodesk Expert Elite Shaun Bryant to learn more about why design communication is imperative for all AutoCAD users. Explore the fundamentals of annotative dimensioning along with the associated styles and families to build your AutoCAD skill set. As you progress through the course, Shaun shows you how to take advantage of cool, easy-to-use dimensioning tricks, such as working with overrides, deleting and purging styles and families, utilizing geometry, and creating annotative dimensions with active layout viewports.</p>",Course,2024-06-25 10:44 UTC,N/A,false,N/A,
Midjourney: Tips and Techniques for Creating Images,"<p>Midjourney is a wildly popular tool for generating images based on text prompts. In this course, instructor and video producer Nick Harauz details the tips and techniques behind getting the best results from this amazing tool. Nick goes over the basics of joining Midjourney and installing Discord, creating your first text prompt, and viewing your images on Midjourney. He shows you how to go further with Midjourney by using external images with your text prompt, blending images, using text separation and weights, and more. Nick highlights additional image parameters and shows you how to use image-generative AI with other AI apps. He explains Midjourney copyright, as well as some generative image app alternatives. This course will get you started on your text-to-image machine learning journey.</p>",Course,2023-07-19 12:50 UTC,N/A,false,N/A,
"Management Excellence at Microsoft: Model, Coach, Care","The role of the manager is arguably one of the most important roles in any organization. Providing managers with clear expectations of their role, and how it aligns with the goals of the organization is critical. In this course, learn how Microsoft, a company recognized for its leadership excellence, grows and cultivates managers with a simple and easily applied framework: Model, Coach, Care.
Join Joe Whittinghill, Corporate Vice President, Talent, Learning, and Insights, along with Satya Nadella, Kathleen Hogan, Jason Zander, Jean-Philippe Courtois, and Amy Hood as they share the approach to manager excellence and keys to empowering managers to deliver success. Through the passion and dedication of these members, explore and reflect on management behaviors and how this framework can be applied to your practice as a manager.",Course,2022-04-28 17:42 UTC,N/A,false,N/A,
Excel Supply Chain Analysis: Solving Inventory Problems,"<p>Excel pro Curt Frye shows how to analyze inventory costs and develop effective inventory policies within a supply chain. He explains how to calculate total costs and total relevant costs for a product. He covers how to incorporate the effects of lead time into analysis and how to determine how much extra those minimum orders cost. Curt goes into how to evaluate quantity discounts and how to calculate production quantities to maximize profit. He discusses how back orders affect inventory policies and how to calculate the economic order quantity for inventory policies that allow back orders. He introduces you to difficulties associated with goods that have a limited lifespan, often called the newsvendor problem, then shows you how to generate the data and summaries required to solve a newsvendor problem. In conclusion, Curt walks you through how to calculate the base stock level for a target level of service and how to calculate a reorder point based on cycle service level performance. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-inventory-management-professional-certificate"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2021-03-08 08:29 UTC,N/A,false,N/A,
Systems Thinking for Product Designers,"While the internet and wireless communication technologies have been connecting people in new ways, it has also been linking together our products. The development of complex products requires bigger teams and greater specialization, and coordinating that effort is its own systemic challenge. As the complexity and interconnectedness of products rises, so does the need for an approach that guarantees that your products deliver the best experiences. In this course, Walter Zesk, professor and cofounder of Conform Lab, shows you how to apply systems thinking to product design. Walter points out several benefits of systematic product design, then steps you through how to analyze product mechanisms as systems. He explains how to identify innovative trends and optimize functionality in your designs., including functional conflict resolution. Plus, Walter goes over distributed products, experiential products, and network products.",Course,2023-05-29 08:26 UTC,N/A,false,N/A,
Code Clinic: R,"Successful programmers know more than just how to code. They also know how to think about solving problems. <em>Code Clinic</em> is a series of courses where our instructors solve the same problems using different programming languages. Here, Mark Niemann-Ross works with R. Throughout the course, Mark introduces challenges and then provides an overview of his solutions in R. Challenges include topics such as statistical analysis and accessing peripheral devices. Visit other courses in the series to see how to solve the same challenges in languages like C++, C#, JavaScript, PHP, Python, Ruby, Go, and Swift.",Course,2018-08-15 05:11 UTC,N/A,false,N/A,
Digital Transformation in Supply Chains,"No two businesses are exactly the same, but they all have two things in common. Every business depends on supply chains and technology—and you need both in order to succeed. The hard part is, you can’t keep up with technology unless you transform your supply chains, too. In this course, instructor Daniel Stanton offers a big-picture view of supply chain management and teaches you how to overcome important challenges and harness technology to create innovative solutions.<br><br>Learn about supply chain challenges and why new technologies are important for solving them. Find out how to continuously improve your supply chain by making it faster, cheaper, and better, utilizing tools related to cybersecurity, AI, blockchain, cloud computing, simulation, automated delivery, quantum computing, robotics, and more. By the end of this course, you’ll be ready to incorporate these tools into a roadmap that’s measurable, team-based, and positioned for effective digital transformation.",Course,2023-03-06 21:50 UTC,N/A,false,N/A,
Brand Strategy for Designers,"Designers: If you've ever wanted to be involved with the long-term strategy for a brand, not just the design, this is the course for you. Learn how to partner with stakeholders and company leaders to define the core elements of a solid brand: its purpose, audience, and position in the marketplace. Instructor Stefan Mumaw—a design consultant to such prestigious brands as Johnson & Johnson, Coca-Cola, and Sony—explains how to turn those ingredients into a cohesive strategy. He also shows how to leverage the strategy to build out individual design elements, such as the company logo. Whether you're building a business from scratch or evolving an existing identity, these tips can help you create a compelling brand—one that moves customers to action and inspires lasting connection.",Course,2023-03-21 17:03 UTC,N/A,false,N/A,
Product Management: Building a Product Roadmap,"<p>A roadmap is a simple but powerful tool for product development. A strong product roadmap supports your business objectives and product strategy. It can help you make decisions and answer critical questions. For example, how do you decide which projects to pursue, and which to defer until later? How can you know which projects will be important a few months from now, when the market is changing so quickly? And how do you get all the diverse groups in your organization aligned behind one particular plan?</p><p>This course shows how to build a product roadmap for your business—and gain critical stakeholder buy-in. See examples of what roadmaps might look like, and spend time learning the tools and techniques necessary to map the projects for your specific organization. Instructors Teg Grenager and Eldad Persky show you how to create strong, dynamic roadmaps that can help ensure that your team is working on the right projects at the right time.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/aha-product-management-professional-certificate"" target=""_blank"">Professional Certificate</a> from Aha!.</p>",Course,2020-01-30 17:21 UTC,N/A,false,N/A,
The Six Morning Habits of High Performers,"Learn the six habits of the most successful people in history. Hal Elrod describes how they changed his life—and how they can change yours, too—in this course adapted from the podcast <i>How to Be Awesome at Your Job</i>. Elrod is one of the highest rated keynote speakers in America, creator of one of the fastest growing and most engaged online communities in existence, and author of one of the bestselling books in the world, <i>The Miracle Morning</i>. Here he describes approaches for silence that generate new ideas, explains how NOT to do affirmations, and reveals the impact of tiny amounts of exercise. Plus, learn how to do simple practices, like reading and scribing, to introspect and become a better version of yourself.<br><br>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2021-05-07 19:28 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:630595,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:630595,Course,2018-08-14 03:30 UTC,N/A,false,N/A,
Generative AI for Product Managers,"<p>How can generative AI be used ethically to enhance and extend a product manager's role across the product lifecycle? In this course, Meta product leader Dr. Marily Nika shares key considerations for using cutting-edge tools from generative AI such as ChatGPT to streamline and manage workflows more effectively in product management.</p><p>Learn how to leverage AI to help generate new product ideas, validate backlog requests, draft and implement user segmentation and research plans, and create prototypes for product features and components to define a minimum viable product (MVP). Along the way, Marily offers insights on navigating strategic pivots and redefinitions as well as product testing frameworks, marketing content plans, and supplemental product releases.</p>",Course,2023-10-28 16:31 UTC,N/A,false,N/A,
Learning Shopify,"Want to start your own online business? Shopify is a trusted and popular hosted ecommerce solution that provides advanced store management in a remarkably clean and easy-to-understand package. You don't need to know HTML or PHP; all you need is an email address and a password to get started. This course takes you through the setup, configuration, publication, and management of your first online store using Shopify. Instructor Patrick Rauland helps you select a visual theme, set up products and inventory, collect payments, configure shipping, and manage orders with the Shopify dashboard. Along the way, he offers tips and best practices for running a successful online store.",Course,2024-01-14 20:29 UTC,N/A,false,N/A,
Design Thinking: Implementing the Process,"You, or someone in your management chain, thinks that design thinking is the answer to all your problems. Now it’s up to you to make it work at your company.<br><br>In this course, learn what’s involved in setting up a design thinking exercise to kick off a new project or subproject. Get tips for assembling your team, including how to determine who should be involved from across your organization. Discover what activities you need to perform to define the problem space, set goals, ideate on a solution, test that solution with a prototype, and then plan your implementation. Plus, learn about some of the common issues that can get in the way of a successful design thinking session, as well as the traps that people fall into when they do this for the first time.<br><br>Follow along with an example project as it goes through the design thinking process. Along the way, watch the development team use design thinking to turn new ideas into a testable concept and full-featured product.",Course,2021-05-02 18:57 UTC,N/A,false,N/A,
Color Trends,"Color is a deeply rooted form of communication—a universal language than can be understood 60,000 times faster than text alone. Leveraged the right way, color can elicit positive emotion and associations that other imagery cannot. Brands are embracing more use of color in their campaigns, and knowing how and when to use the newest color trends will keep you on top of your design game. In this course, designer and brand strategist Nicte Cuevas shares how you can use recent Pantone colors of the year and other color trends to engage your audience. Learn how to understand the emotional triggers behind the color trends, identify what colors work well together, what industries are best suited for the latest trends and why, and how to incorporate new colors in your designs.",Course,2022-07-10 11:43 UTC,N/A,false,N/A,
Python Data Structures and Algorithms,"Software developers know that efficient underlying architecture is essential to the technologies we use every day. Knowledge of data structures and the algorithms which they support helps developers choose the most suitable solution for a given context, making them better programmers who stand out to their company, clients, or prospective employers. In this course, leveraging the Python programming language, instructor Robin Andrews uses a combo of visual, theoretical, and hands-on programming approaches to explain concepts in a fun and accessible way. Robin explains some of the most important data structures such as stacks, queues, and priority queues, and how these are used by search algorithms such as depth-first search, breadth-first search, and the A-star (A*) algorithm. He shows how to trace the execution of algorithms. Along the way, he provides challenges that allow you to test your new skills.",Course,2023-02-11 04:48 UTC,N/A,false,N/A,
Objectified,"On an average day, each of us uses hundreds of objects. (Don't believe it? Start counting: alarm clock, light switch, faucet, shampoo bottle, toothbrush, razor…) But who makes all these things, and why do they look and feel the way they do? How can good design make objects, and our lives, better?<br><br>

<em>Objectified</em> is a documentary about industrial design; it's about the manufactured objects we surround ourselves with, and the people who make them. Gary Hustwit, the director of <em>Helvetica</em>, talks with Dieter Rams, Marc Newson, Jonathan Ive, and other renowned designers behind some of the world's most iconic products. lynda.com is proud to offer this film to our members, along with over one hour of online-exclusive bonus movies.",Course,2019-07-18 01:13 UTC,N/A,false,N/A,
Nano Tips to Thrive in Uncertainty and Embrace Change with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover powerful, practical strategies to grow your career by thriving in uncertainty and embracing change with insights from Shadé Zahrai, peak performance researcher and behavioral strategist to Fortune 500 companies.</p><p>Start embracing change in your professional life by tapping into your brain’s learning powerhouse. Learn how to identify communication preferences, transform anxiety into opportunity, cultivate resilience, manage stress, overcome the effects of tunnel vision, embrace acts of microbravery, and accept what you cannot change. Along the way, Shadé shows you how to successfully confront your fear of change and lead more authentically in times of uncertainty.</p>",Course,2024-04-19 05:34 UTC,N/A,false,N/A,
Content Marketing: Ways to Repurpose Video Content,"<p>If you’re looking for new ways to engage with your audience, why not revisit what you already have? Recycling content across platforms can boost engagement with your audience and brand, especially if you know how to do it quickly and make it a key part of your marketing campaign. Join content marketing and video expert Tamara Thompson in this timely skills-based course, as she teaches you practical strategies to repurpose video content in seven different, results-driven ways. </p><p>Learn to repurpose video for social media graphics, TikTok and Instagram, podcasts, ad campaigns, presentations, and digital products. Tamara shows you how to identify the types of videos that are best suited for repurposing, as well as how to articulate your rationale to stakeholders and pick a medium that works for you. Don’t get bogged down in thinking you need brand-new content every time you want to engage with your community. Find out how to build momentum with what you already have—and turn the old into something new. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/social-media-marketing-professional-certificate-by-hootsuite"" target=""_blank"">Professional Certificate</a> from Hootsuite. </p>",Course,2022-08-07 22:27 UTC,N/A,false,N/A,
Learning SAP MM (Materials Management),"To consistently deliver completed products on time, an organization needs an effective system for managing products, inventory, and purchased materials. SAP Materials Management (MM), a key module in SAP S/4HANA, tracks all aspects of material management—from purchase through sale—for enterprise organizations. In this course, learn how to get up and running with SAP MM. To begin, instructor Justin Valley provides a high-level look at the materials management process in SAP MM, as well as how it integrates with other SAP modules. Next, Justin shows how to create material master records and approach the purchasing, inventory management, and physical inventory processes (and run related reports).",Course,2022-07-17 14:22 UTC,N/A,false,N/A,
Coding Exercises: C#,"In C# Code Challenges, Harrison Ferrone introduces a series of bite-sized modular problems and step-by-step solution walkthroughs that will help you navigate your own projects. Harrison starts simple with string and data set modifications, moves on to intermediate topics like algorithms and data persistence, and finish with advanced C# language features. Using this course, you can build real problem-solving skills with fun and actionable examples.",Course,2023-04-17 11:53 UTC,N/A,false,N/A,
Digital Body Language,"<p>People rely on body language and tone to grasp the real meaning of messages. Without these cues, we misunderstand each other more quickly, argue more, and walk away faster from relationships. In the virtual world—where most business is conducted—it’s even harder to communicate. If you want to build closer relationships with colleagues and clients, digital body language is your solution. Join collaboration expert Erica Dhawan as she explains how to use digital body language to close the empathy gap between you and your team. Learn why it’s important to always assume the best intent in others, and find out how to carefully craft your responses, communicate your feelings, and negotiate delicate power dynamics. With these tips, you can take charge of your communications online and off. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/essential-business-communication-skills-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2021-11-29 07:03 UTC,N/A,false,N/A,
Business Foundations,"Learn the foundational concepts underlying all businesses, small to large. ASU professor Eddie Davila covers all the basics, explaining concepts such as business goals, stakeholders, profits, and various types of businesses. He then outlines what you need to think about if you were to start your own business, such as determining what your product or service will be, making and delivering your product or service, and funding your business.<br><br>

He also reviews the basics of the people side of business: managing employees and developing customer relationships. Last, he covers the financial and information management aspects of business and provides a basic explanation of economics, so that you can understand the relationship of your business to the bigger picture.",Course,2019-03-18 07:43 UTC,N/A,false,N/A,
